Asset,Maximum Capability,Total Net Generation,Year,Month,Day,Hour,Minute
Summerview 2 (IEW2),66,3,2015,4,9,13,10
Suncor Chin Chute (SCR3),30,1,2015,4,9,13,10
Suncor Magrath (SCR2),30,3,2015,4,9,13,10
Suncor Wintering Hills (SCR4),88,0,2015,4,9,13,10
Ardenville Wind (ARD1),68,2,2015,4,9,13,11
Blackspring Ridge (BSR1),300,0,2015,4,9,13,11
Blue Trail Wind (BTR1),66,0,2015,4,9,13,11
Castle River #1 (CR1),39,0,2015,4,9,13,11
Castle Rock Wind Farm (CRR1),77,5,2015,4,9,13,11
Cowley Ridge (CRW1),38,0,2015,4,9,13,11
Enmax Taber (TAB1),81,3,2015,4,9,13,11
Ghost Pine (NEP1),82,0,2015,4,9,13,11
Halkirk Wind Power Facility (HAL1),150,1,2015,4,9,13,11
Kettles Hill (KHW1),63,3,2015,4,9,13,11
McBride Lake Windfarm (AKE1),73,0,2015,4,9,13,11
Oldman 2 Wind Farm 1 (OWF1),46,6,2015,4,9,13,11
Soderglen Wind  (GWW1),71,6,2015,4,9,13,11
Summerview 1 (IEW1),66,3,2015,4,9,13,11
Summerview 2 (IEW2),66,4,2015,4,9,13,11
Suncor Chin Chute (SCR3),30,1,2015,4,9,13,11
Suncor Magrath (SCR2),30,3,2015,4,9,13,11
Suncor Wintering Hills (SCR4),88,0,2015,4,9,13,11
Ardenville Wind (ARD1),68,1,2015,4,9,13,12
Blackspring Ridge (BSR1),300,0,2015,4,9,13,12
Blue Trail Wind (BTR1),66,0,2015,4,9,13,12
Castle River #1 (CR1),39,0,2015,4,9,13,12
Castle Rock Wind Farm (CRR1),77,4,2015,4,9,13,12
Cowley Ridge (CRW1),38,0,2015,4,9,13,12
Enmax Taber (TAB1),81,3,2015,4,9,13,12
Ghost Pine (NEP1),82,0,2015,4,9,13,12
Halkirk Wind Power Facility (HAL1),150,1,2015,4,9,13,12
Kettles Hill (KHW1),63,4,2015,4,9,13,12
McBride Lake Windfarm (AKE1),73,0,2015,4,9,13,12
Oldman 2 Wind Farm 1 (OWF1),46,6,2015,4,9,13,12
Soderglen Wind  (GWW1),71,7,2015,4,9,13,12
Summerview 1 (IEW1),66,3,2015,4,9,13,12
Summerview 2 (IEW2),66,4,2015,4,9,13,12
Suncor Chin Chute (SCR3),30,1,2015,4,9,13,12
Suncor Magrath (SCR2),30,4,2015,4,9,13,12
Suncor Wintering Hills (SCR4),88,1,2015,4,9,13,12
Ardenville Wind (ARD1),68,2,2015,4,9,13,13
Blackspring Ridge (BSR1),300,0,2015,4,9,13,13
Blue Trail Wind (BTR1),66,0,2015,4,9,13,13
Castle River #1 (CR1),39,0,2015,4,9,13,13
Castle Rock Wind Farm (CRR1),77,4,2015,4,9,13,13
Cowley Ridge (CRW1),38,0,2015,4,9,13,13
Enmax Taber (TAB1),81,4,2015,4,9,13,13
Ghost Pine (NEP1),82,0,2015,4,9,13,13
Halkirk Wind Power Facility (HAL1),150,1,2015,4,9,13,13
Kettles Hill (KHW1),63,4,2015,4,9,13,13
McBride Lake Windfarm (AKE1),73,0,2015,4,9,13,13
Oldman 2 Wind Farm 1 (OWF1),46,7,2015,4,9,13,13
Soderglen Wind  (GWW1),71,7,2015,4,9,13,13
Summerview 1 (IEW1),66,5,2015,4,9,13,13
Summerview 2 (IEW2),66,4,2015,4,9,13,13
Suncor Chin Chute (SCR3),30,1,2015,4,9,13,13
Suncor Magrath (SCR2),30,4,2015,4,9,13,13
Suncor Wintering Hills (SCR4),88,1,2015,4,9,13,13
Ardenville Wind (ARD1),68,2,2015,4,9,13,14
Blackspring Ridge (BSR1),300,0,2015,4,9,13,14
Blue Trail Wind (BTR1),66,0,2015,4,9,13,14
Castle River #1 (CR1),39,0,2015,4,9,13,14
Castle Rock Wind Farm (CRR1),77,4,2015,4,9,13,14
Cowley Ridge (CRW1),38,1,2015,4,9,13,14
Enmax Taber (TAB1),81,3,2015,4,9,13,14
Ghost Pine (NEP1),82,0,2015,4,9,13,14
Halkirk Wind Power Facility (HAL1),150,1,2015,4,9,13,14
Kettles Hill (KHW1),63,4,2015,4,9,13,14
McBride Lake Windfarm (AKE1),73,0,2015,4,9,13,14
Oldman 2 Wind Farm 1 (OWF1),46,7,2015,4,9,13,14
Soderglen Wind  (GWW1),71,6,2015,4,9,13,14
Summerview 1 (IEW1),66,6,2015,4,9,13,14
Summerview 2 (IEW2),66,3,2015,4,9,13,14
Suncor Chin Chute (SCR3),30,1,2015,4,9,13,14
Suncor Magrath (SCR2),30,3,2015,4,9,13,14
Suncor Wintering Hills (SCR4),88,1,2015,4,9,13,14
Ardenville Wind (ARD1),68,1,2015,4,9,13,15
Blackspring Ridge (BSR1),300,1,2015,4,9,13,15
Blue Trail Wind (BTR1),66,0,2015,4,9,13,15
Castle River #1 (CR1),39,0,2015,4,9,13,15
Castle Rock Wind Farm (CRR1),77,5,2015,4,9,13,15
Cowley Ridge (CRW1),38,1,2015,4,9,13,15
Enmax Taber (TAB1),81,4,2015,4,9,13,15
Ghost Pine (NEP1),82,0,2015,4,9,13,15
Halkirk Wind Power Facility (HAL1),150,1,2015,4,9,13,15
Kettles Hill (KHW1),63,3,2015,4,9,13,15
McBride Lake Windfarm (AKE1),73,0,2015,4,9,13,15
Oldman 2 Wind Farm 1 (OWF1),46,8,2015,4,9,13,15
Soderglen Wind  (GWW1),71,8,2015,4,9,13,15
