Asset,Maximum Capability,Total Net Generation,Year,Month,Day,Hour,Minute
Blue Trail Wind (BTR1),66,0,2015,4,9,13,51
Castle River #1 (CR1),39,1,2015,4,9,13,51
Castle Rock Wind Farm (CRR1),77,2,2015,4,9,13,51
Cowley Ridge (CRW1),38,1,2015,4,9,13,51
Enmax Taber (TAB1),81,4,2015,4,9,13,51
Ghost Pine (NEP1),82,0,2015,4,9,13,51
Halkirk Wind Power Facility (HAL1),150,2,2015,4,9,13,51
Kettles Hill (KHW1),63,2,2015,4,9,13,51
McBride Lake Windfarm (AKE1),73,0,2015,4,9,13,51
Oldman 2 Wind Farm 1 (OWF1),46,5,2015,4,9,13,51
Soderglen Wind  (GWW1),71,11,2015,4,9,13,51
Summerview 1 (IEW1),66,9,2015,4,9,13,51
Summerview 2 (IEW2),66,7,2015,4,9,13,51
Suncor Chin Chute (SCR3),30,1,2015,4,9,13,51
Suncor Magrath (SCR2),30,3,2015,4,9,13,51
Suncor Wintering Hills (SCR4),88,1,2015,4,9,13,51
Ardenville Wind (ARD1),68,2,2015,4,9,13,52
Blackspring Ridge (BSR1),300,0,2015,4,9,13,52
Blue Trail Wind (BTR1),66,0,2015,4,9,13,52
Castle River #1 (CR1),39,1,2015,4,9,13,52
Castle Rock Wind Farm (CRR1),77,2,2015,4,9,13,52
Cowley Ridge (CRW1),38,1,2015,4,9,13,52
Enmax Taber (TAB1),81,4,2015,4,9,13,52
Ghost Pine (NEP1),82,0,2015,4,9,13,52
Halkirk Wind Power Facility (HAL1),150,3,2015,4,9,13,52
Kettles Hill (KHW1),63,0,2015,4,9,13,52
McBride Lake Windfarm (AKE1),73,0,2015,4,9,13,52
Oldman 2 Wind Farm 1 (OWF1),46,6,2015,4,9,13,52
Soderglen Wind  (GWW1),71,9,2015,4,9,13,52
Summerview 1 (IEW1),66,10,2015,4,9,13,52
Summerview 2 (IEW2),66,6,2015,4,9,13,52
Suncor Chin Chute (SCR3),30,1,2015,4,9,13,52
Suncor Magrath (SCR2),30,3,2015,4,9,13,52
Suncor Wintering Hills (SCR4),88,1,2015,4,9,13,52
Ardenville Wind (ARD1),68,4,2015,4,9,13,53
Blackspring Ridge (BSR1),300,1,2015,4,9,13,53
Blue Trail Wind (BTR1),66,0,2015,4,9,13,53
Castle River #1 (CR1),39,1,2015,4,9,13,53
Castle Rock Wind Farm (CRR1),77,2,2015,4,9,13,53
Cowley Ridge (CRW1),38,1,2015,4,9,13,53
Enmax Taber (TAB1),81,4,2015,4,9,13,53
Ghost Pine (NEP1),82,0,2015,4,9,13,53
Halkirk Wind Power Facility (HAL1),150,3,2015,4,9,13,53
Kettles Hill (KHW1),63,0,2015,4,9,13,53
McBride Lake Windfarm (AKE1),73,0,2015,4,9,13,53
Oldman 2 Wind Farm 1 (OWF1),46,5,2015,4,9,13,53
Soderglen Wind  (GWW1),71,7,2015,4,9,13,53
Summerview 1 (IEW1),66,11,2015,4,9,13,53
Summerview 2 (IEW2),66,6,2015,4,9,13,53
Suncor Chin Chute (SCR3),30,1,2015,4,9,13,53
Suncor Magrath (SCR2),30,2,2015,4,9,13,53
Suncor Wintering Hills (SCR4),88,1,2015,4,9,13,53
Ardenville Wind (ARD1),68,4,2015,4,9,13,54
Blackspring Ridge (BSR1),300,1,2015,4,9,13,54
Blue Trail Wind (BTR1),66,0,2015,4,9,13,54
Castle River #1 (CR1),39,1,2015,4,9,13,54
Castle Rock Wind Farm (CRR1),77,2,2015,4,9,13,54
Cowley Ridge (CRW1),38,1,2015,4,9,13,54
Enmax Taber (TAB1),81,3,2015,4,9,13,54
Ghost Pine (NEP1),82,0,2015,4,9,13,54
Halkirk Wind Power Facility (HAL1),150,3,2015,4,9,13,54
Kettles Hill (KHW1),63,0,2015,4,9,13,54
McBride Lake Windfarm (AKE1),73,0,2015,4,9,13,54
Oldman 2 Wind Farm 1 (OWF1),46,4,2015,4,9,13,54
Soderglen Wind  (GWW1),71,6,2015,4,9,13,54
Summerview 1 (IEW1),66,10,2015,4,9,13,54
Summerview 2 (IEW2),66,7,2015,4,9,13,54
Suncor Chin Chute (SCR3),30,1,2015,4,9,13,54
Suncor Magrath (SCR2),30,2,2015,4,9,13,54
Suncor Wintering Hills (SCR4),88,1,2015,4,9,13,54
Ardenville Wind (ARD1),68,3,2015,4,9,13,55
Blackspring Ridge (BSR1),300,0,2015,4,9,13,55
Blue Trail Wind (BTR1),66,0,2015,4,9,13,55
Castle River #1 (CR1),39,1,2015,4,9,13,55
Castle Rock Wind Farm (CRR1),77,4,2015,4,9,13,55
Cowley Ridge (CRW1),38,1,2015,4,9,13,55
Enmax Taber (TAB1),81,3,2015,4,9,13,55
Ghost Pine (NEP1),82,0,2015,4,9,13,55
Halkirk Wind Power Facility (HAL1),150,3,2015,4,9,13,55
Kettles Hill (KHW1),63,0,2015,4,9,13,55
McBride Lake Windfarm (AKE1),73,0,2015,4,9,13,55
Oldman 2 Wind Farm 1 (OWF1),46,4,2015,4,9,13,55
Soderglen Wind  (GWW1),71,6,2015,4,9,13,55
Summerview 1 (IEW1),66,7,2015,4,9,13,55
Summerview 2 (IEW2),66,8,2015,4,9,13,55
Suncor Chin Chute (SCR3),30,1,2015,4,9,13,55
Suncor Magrath (SCR2),30,2,2015,4,9,13,55
Suncor Wintering Hills (SCR4),88,1,2015,4,9,13,55
Ardenville Wind (ARD1),68,4,2015,4,9,13,56
Blackspring Ridge (BSR1),300,1,2015,4,9,13,56
Blue Trail Wind (BTR1),66,0,2015,4,9,13,56
Castle River #1 (CR1),39,1,2015,4,9,13,56
Castle Rock Wind Farm (CRR1),77,4,2015,4,9,13,56
Cowley Ridge (CRW1),38,1,2015,4,9,13,56
Enmax Taber (TAB1),81,3,2015,4,9,13,56
Ghost Pine (NEP1),82,0,2015,4,9,13,56
Halkirk Wind Power Facility (HAL1),150,3,2015,4,9,13,56
Kettles Hill (KHW1),63,0,2015,4,9,13,56
McBride Lake Windfarm (AKE1),73,0,2015,4,9,13,56
Oldman 2 Wind Farm 1 (OWF1),46,3,2015,4,9,13,56
Soderglen Wind  (GWW1),71,5,2015,4,9,13,56
Summerview 1 (IEW1),66,5,2015,4,9,13,56
Summerview 2 (IEW2),66,7,2015,4,9,13,56
Suncor Chin Chute (SCR3),30,1,2015,4,9,13,56
Suncor Magrath (SCR2),30,2,2015,4,9,13,56
Suncor Wintering Hills (SCR4),88,1,2015,4,9,13,56
Ardenville Wind (ARD1),68,4,2015,4,9,13,57
Blackspring Ridge (BSR1),300,2,2015,4,9,13,57
Blue Trail Wind (BTR1),66,0,2015,4,9,13,57
Castle River #1 (CR1),39,2,2015,4,9,13,57
Castle Rock Wind Farm (CRR1),77,5,2015,4,9,13,57
Cowley Ridge (CRW1),38,1,2015,4,9,13,57
Enmax Taber (TAB1),81,2,2015,4,9,13,57
Ghost Pine (NEP1),82,0,2015,4,9,13,57
Halkirk Wind Power Facility (HAL1),150,3,2015,4,9,13,57
Kettles Hill (KHW1),63,0,2015,4,9,13,57
McBride Lake Windfarm (AKE1),73,0,2015,4,9,13,57
Oldman 2 Wind Farm 1 (OWF1),46,3,2015,4,9,13,57
Soderglen Wind  (GWW1),71,4,2015,4,9,13,57
Summerview 1 (IEW1),66,5,2015,4,9,13,57
Summerview 2 (IEW2),66,7,2015,4,9,13,57
Suncor Chin Chute (SCR3),30,1,2015,4,9,13,57
Suncor Magrath (SCR2),30,2,2015,4,9,13,57
Suncor Wintering Hills (SCR4),88,1,2015,4,9,13,57
Ardenville Wind (ARD1),68,4,2015,4,9,13,58
Blackspring Ridge (BSR1),300,3,2015,4,9,13,58
Blue Trail Wind (BTR1),66,0,2015,4,9,13,58
Castle River #1 (CR1),39,2,2015,4,9,13,58
Castle Rock Wind Farm (CRR1),77,6,2015,4,9,13,58
Cowley Ridge (CRW1),38,1,2015,4,9,13,58
Enmax Taber (TAB1),81,4,2015,4,9,13,58
Ghost Pine (NEP1),82,0,2015,4,9,13,58
Halkirk Wind Power Facility (HAL1),150,4,2015,4,9,13,58
Kettles Hill (KHW1),63,0,2015,4,9,13,58
McBride Lake Windfarm (AKE1),73,0,2015,4,9,13,58
Oldman 2 Wind Farm 1 (OWF1),46,3,2015,4,9,13,58
Soderglen Wind  (GWW1),71,3,2015,4,9,13,58
Summerview 1 (IEW1),66,7,2015,4,9,13,58
Summerview 2 (IEW2),66,9,2015,4,9,13,58
Suncor Chin Chute (SCR3),30,1,2015,4,9,13,58
Suncor Magrath (SCR2),30,2,2015,4,9,13,58
Suncor Wintering Hills (SCR4),88,1,2015,4,9,13,58
Ardenville Wind (ARD1),68,4,2015,4,9,13,59
Blackspring Ridge (BSR1),300,4,2015,4,9,13,59
Blue Trail Wind (BTR1),66,0,2015,4,9,13,59
Castle River #1 (CR1),39,2,2015,4,9,13,59
Castle Rock Wind Farm (CRR1),77,7,2015,4,9,13,59
Cowley Ridge (CRW1),38,1,2015,4,9,13,59
Enmax Taber (TAB1),81,4,2015,4,9,13,59
Ghost Pine (NEP1),82,0,2015,4,9,13,59
Halkirk Wind Power Facility (HAL1),150,4,2015,4,9,13,59
Kettles Hill (KHW1),63,0,2015,4,9,13,59
McBride Lake Windfarm (AKE1),73,0,2015,4,9,13,59
Oldman 2 Wind Farm 1 (OWF1),46,4,2015,4,9,13,59
Soderglen Wind  (GWW1),71,3,2015,4,9,13,59
Summerview 1 (IEW1),66,7,2015,4,9,13,59
Summerview 2 (IEW2),66,9,2015,4,9,13,59
Suncor Chin Chute (SCR3),30,1,2015,4,9,13,59
Suncor Magrath (SCR2),30,3,2015,4,9,13,59
Suncor Wintering Hills (SCR4),88,1,2015,4,9,13,59
